username;password;role.
Bondowoso;cintaroro;bandung_bondowoso
Roro;gasukabondo;roro_jonggrang
Ifrit1;jin11;Pengumpul
Ifrit2;jin11;Pengumpul
kumpul1;jin11;Pengumpul
kumpul2;jin11;Pengumpul
kumpul3;jin11;Pengumpul
kumpul4;jin11;Pengumpul
kumpul5;jin11;Pengumpul
kumpul6;jin11;Pengumpul
kumpul7;jin11;Pengumpul
kumpul8;jin11;Pengumpul
kumpul9;jin11;Pengumpul
kumpul10;jin11;Pengumpul
kumpul11;jin11;Pengumpul
kumpul12;jin11;Pengumpul
kumpul13;jin11;Pengumpul
kumpul14;jin11;Pengumpul
kumpul15;jin11;Pengumpul
kumpul16;jin11;Pengumpul
kumpul17;jin11;Pengumpul
kumpul18;jin11;Pengumpul
kumpul19;jin11;Pengumpul
kumpul20;jin11;Pengumpul
bangun1;jin11;Pembangun
bangun2;jin11;Pembangun
bangun3;jin11;Pembangun
bangun4;jin11;Pembangun
bangun5;jin11;Pembangun
bangun6;jin11;Pembangun
bangun7;jin11;Pembangun
bangun8;jin11;Pembangun
bangun9;jin11;Pembangun
bangun10;jin11;Pembangun
bangun11;jin11;Pembangun
bangun12;jin11;Pembangun
bangun13;jin11;Pembangun
bangun14;jin11;Pembangun
bangun15;jin11;Pembangun
bangun16;jin11;Pembangun
bangun17;jin11;Pembangun
bangun18;jin11;Pembangun
bangun19;jin11;Pembangun
bangun20;jin11;Pembangun
